trial,agent,agent_type,full_sequence_world_coords,middle_sequence_world_coords
snack6,B,naive,"[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (11, 10), (11, 9), (11, 8)]"
snack3,A,sophisticated,"[(11, 13), (10, 13), (9, 13), (9, 12), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11), (3, 10), (3, 9), (3, 8), (3, 7), (3, 6), (3, 5)]","[(11, 13), (10, 13), (9, 13), (9, 12), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11), (3, 10), (3, 9), (3, 8)]"
snack5,A,sophisticated,"[(9, 3), (8, 3), (7, 3), (6, 3), (5, 3), (4, 3), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10)]","[(9, 3), (8, 3), (7, 3), (6, 3), (5, 3), (4, 3), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7)]"
snack6,A,sophisticated,"[(8, 13), (7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(8, 13), (7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (5, 10), (5, 9), (5, 8)]"
snack9,A,sophisticated,"[(11, 3), (11, 4), (10, 4), (9, 4), (8, 4), (7, 4), (6, 4), (5, 4)]","[(11, 3), (11, 4), (10, 4), (9, 4), (8, 4), (7, 4)]"
snack7,A,sophisticated,"[(2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (6, 8), (6, 7), (6, 6), (6, 5), (6, 4), (6, 3), (7, 3), (8, 3), (9, 3)]","[(2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (6, 8), (6, 7), (6, 6), (6, 5), (6, 4), (6, 3), (7, 3)]"
snack8,A,sophisticated,"[(11, 7), (10, 7), (9, 7), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]","[(11, 7), (10, 7), (9, 7), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (7, 3)]"
snack1,A,sophisticated,"[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (3, 10), (4, 10), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]","[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (3, 10), (4, 10), (4, 9), (4, 8)]"
snack10,A,sophisticated,"[(4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3)]","[(4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (5, 3), (6, 3), (7, 3)]"
snack2,A,sophisticated,"[(5, 3), (5, 4), (5, 5), (4, 5), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10)]","[(5, 3), (5, 4), (5, 5), (4, 5), (3, 5), (3, 6), (3, 7)]"
